         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10029, -44.444, 27.2961, 0.574207, -99.6143, -43.9295, 3.30259, -44.4478, 27.2706, 0.444358
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10030, -4.9007, 47.7855, -0.705493, -18.7565, -19.3252, 2.98631, -4.89725, 47.7452, 2.51471
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10031, 48.358, 44.849, -2.82099, 73.0513, -42.9609, 1.17464, 48.3537, 44.8567, 0.213145
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10032, -27.2175, 41.2019, -1.01029, -98.5408, -79.2566, 4.79146, -27.2172, 41.1849, 2.10567
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10033, 29.3022, -41.29, -0.551493, -28.182, -13.3337, 4.14719, 29.3016, -41.2919, 2.64353
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10034, 26.671, -7.2551, -2.72219, -15.3019, -82.8958, 4.1432, 26.638, -7.26527, 0.395609
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10035, 45.0254, 5.7726, 2.92371, -33.8646, -9.0037, 1.10171, 45.0548, 5.77075, 2.9283
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10036, -2.4213, 41.1897, -2.56139, 40.9346, -16.1977, 3.79417, -2.42371, 41.1645, 0.558584
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10037, 31.2617, -19.9296, -1.98159, -25.0102, -96.0049, 1.98584, 31.2557, -19.9712, 1.23589
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10038, 16.8321, -24.6681, -1.99019, 63.4896, -79.1657, 4.09615, 16.8294, -24.7097, 1.28637
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10039, 20.5556, -45.8151, 1.24541, -41.8527, 23.6185, 0.309045, 20.5559, -45.9169, 1.13768
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10040, 18.6309, -31.4918, -1.14589, -83.267, 44.0475, 1.76102, 18.627, -31.3842, 2.03532
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10041, -14.641, -24.7158, 2.01811, 92.585, 38.2804, 2.6818, -14.6315, -24.714, 1.99194
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10042, -37.3467, -44.0273, -1.53349, 47.7844, -6.0008, 1.24999, -37.3481, -43.9697, 1.58872
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
10043, -4.7749, 13.608, 1.28201, 2.706, -91.4292, 3.05802, -4.777, 13.5481, 1.20914
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
