         , Xa,Ya, YAWa, Vx, Vy, Vyaw, wR, wL, CTRLA, CTRLB, Xb, Yb, YAWb, Vx, Vy, Vyaw, wR2, wL2
26, 0.16994, 0.169862, 26.5242, 0.25203, 0.0747454, 0.277046, 0.276979, 0.279525, 0.0773, -0.0066, 0.292381, 0.2104, 34.6681, 0.242278, 0.0915092, 0.274096, 0.274673, 0.276399
27, 0.292381, 0.2104, 34.6681, 0.242278, 0.0915092, 0.274096, 0.274673, 0.276399, -0.4038, -0.2671, 0.41628, 0.265791, 41.6047, 0.264349, 0.140035, 0.206147, 0.210203, 0.210594
28, 0.41628, 0.265791, 41.6047, 0.264349, 0.140035, 0.206147, 0.210203, 0.210594, -0.4612, -0.2211, 0.557175, 0.352819, 46.2998, 0.292835, 0.202953, 0.121154, 0.12655, 0.125985
29, 0.557175, 0.352819, 46.2998, 0.292835, 0.202953, 0.121154, 0.12655, 0.125985, -0.1883, -0.3663, 0.710876, 0.471345, 49.6267, 0.317633, 0.267106, 0.123156, 0.127109, 0.12861
30, 0.710876, 0.471345, 49.6267, 0.317633, 0.267106, 0.123156, 0.127109, 0.12861, -0.2381, -0.4004, 0.873595, 0.619469, 53.3948, 0.33812, 0.33294, 0.139311, 0.144267, 0.145944
31, 0.873595, 0.619469, 53.3948, 0.33812, 0.33294, 0.139311, 0.144267, 0.145944, -0.3987, -0.4269, 1.04712, 0.803856, 57.2634, 0.357189, 0.408165, 0.127366, 0.134696, 0.135599
32, 1.04712, 0.803856, 57.2634, 0.357189, 0.408165, 0.127366, 0.134696, 0.135599, 0.4572, -0.1963, 1.22177, 1.01533, 62.1158, 0.328785, 0.418171, 0.226088, 0.228611, 0.233912
33, 1.22177, 1.01533, 62.1158, 0.328785, 0.418171, 0.226088, 0.228611, 0.233912, -0.0398, 0.1795, 1.37701, 1.2262, 68.2085, 0.291578, 0.426595, 0.175273, 0.181246, 0.180988
34, 1.37701, 1.2262, 68.2085, 0.291578, 0.426595, 0.175273, 0.181246, 0.180988, 0.1945, 0.2458, 1.50966, 1.43259, 72.4394, 0.241359, 0.402975, 0.127031, 0.130919, 0.131526
35, 1.50966, 1.43259, 72.4394, 0.241359, 0.402975, 0.127031, 0.130919, 0.131526, 0.0242, 0.23, 1.619, 1.62858, 75.2304, 0.197153, 0.380058, 0.0652558, 0.0701039, 0.0692124
36, 1.619, 1.62858, 75.2304, 0.197153, 0.380058, 0.0652558, 0.0701039, 0.0692124, 0.2389, 0.1132, 1.7087, 1.81513, 77.0143, 0.160872, 0.357815, 0.0685861, 0.0707537, 0.0717622
37, 1.7087, 1.81513, 77.0143, 0.160872, 0.357815, 0.0685861, 0.0707537, 0.0717622, 0.198, 0.0783, 1.78133, 1.98825, 79.2084, 0.131433, 0.339422, 0.0841262, 0.0855393, 0.0864755
38, 1.78133, 1.98825, 79.2084, 0.131433, 0.339422, 0.0841262, 0.0855393, 0.0864755, -0.4161, -0.1199, 1.84234, 2.16345, 80.8519, 0.11594, 0.377307, 0.0206622, 0.0242736, 0.0233525
39, 1.84234, 2.16345, 80.8519, 0.11594, 0.377307, 0.0206622, 0.0242736, 0.0233525, 0.4504, -0.3758, 1.89636, 2.3559, 82.9683, 0.0984752, 0.379309, 0.155521, 0.156228, 0.159131
40, 1.89636, 2.3559, 82.9683, 0.0984752, 0.379309, 0.155521, 0.156228, 0.159131, -0.1103, -0.1233, 1.94124, 2.55204, 87.9224, 0.0797271, 0.404021, 0.166026, 0.169214, 0.170079
41, 1.94124, 2.55204, 87.9224, 0.0797271, 0.404021, 0.166026, 0.169214, 0.170079, -0.2889, 0.4677, 1.97523, 2.75189, 90.5534, 0.0565628, 0.396584, 0.000444238, 0.00406222, 0.00110345
42, 1.97523, 2.75189, 90.5534, 0.0565628, 0.396584, 0.000444238, 0.00406222, 0.00110345, -0.4824, 0.4185, 1.99898, 2.94811, 87.7221, 0.0405175, 0.393603, -0.195964, -0.194346, -0.195717
43, 1.99898, 2.94811, 87.7221, 0.0405175, 0.393603, -0.195964, -0.194346, -0.195717, 0.2323, -0.3743, 2.0186, 3.1491, 83.0447, 0.0397649, 0.405289, -0.0896359, -0.0901881, -0.0906756
44, 2.0186, 3.1491, 83.0447, 0.0397649, 0.405289, -0.0896359, -0.0901881, -0.0906756, 0.1125, -0.0634, 2.03977, 3.35312, 81.7274, 0.0447674, 0.407701, -0.0171334, -0.0177948, -0.0179814
45, 2.03977, 3.35312, 81.7274, 0.0447674, 0.407701, -0.0171334, -0.0177948, -0.0179814, -0.1779, -0.4054, 2.06447, 3.5648, 81.9862, 0.0556557, 0.452931, 0.0348772, 0.03456, 0.0344677
46, 2.06447, 3.5648, 81.9862, 0.0556557, 0.452931, 0.0348772, 0.03456, 0.0344677, -0.13, -0.3858, 2.09424, 3.80339, 83.7179, 0.0622092, 0.500168, 0.0852157, 0.0859714, 0.0862298
47, 2.09424, 3.80339, 83.7179, 0.0622092, 0.500168, 0.0852157, 0.0859714, 0.0862298, -0.1175, -0.1578, 2.1252, 4.06414, 86.3037, 0.0594822, 0.533634, 0.0887713, 0.0907612, 0.0910192
