         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1112, 0, 0, 0, 65.1738, -67.0314, 4.68897, 4.88618e-06, 3.11499e-07, -7.34573e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1113, 0, 0, 0, -10.9701, -10.9496, 0.502934, -3.43155e-06, -2.03375e-06, 2.90986e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1114, 0, 0, 0, 43.4916, -38.4238, 4.50694, -8.28268e-07, -1.35122e-06, 3.78366e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1115, 0, 0, 0, -29.1305, -32.3479, 2.11707, 1.15404e-05, 1.21689e-06, 4.02852e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1116, 0, 0, 0, 28.5238, -22.9951, 4.96424, 1.14348e-06, -6.36596e-07, -2.23455e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1117, 0, 0, 0, -32.8219, -56.9592, 1.58706, 5.92983e-05, -8.98275e-07, 2.68023e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1118, 0, 0, 0, 43.6653, 90.095, 0.864714, 1.97195e-06, -4.29299e-07, 2.62217e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1119, 0, 0, 0, 18.2966, 83.748, 4.98796, 1.87733e-06, -7.09622e-07, -2.632e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1120, 0, 0, 0, 30.6249, 69.2843, 4.94055, -2.16945e-06, -1.83065e-06, -4.81877e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1121, 0, 0, 0, 54.3321, 33.7908, 4.41381, 4.50876e-07, -9.02501e-08, -8.48421e-07
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1122, 0, 0, 0, -51.3918, 7.6822, 1.29672, 2.71049e-05, -6.57987e-07, 5.42273e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1123, 0, 0, 0, 14.9659, 14.1171, 1.28601, 1.59132e-06, -6.07143e-07, -2.31568e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1124, 0, 0, 0, -14.1286, 57.1151, 0.530853, 1.41939e-06, -6.26177e-07, -1.87197e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1125, 0, 0, 0, 49.3652, 13.1142, 0.999606, 5.02101e-06, 9.63723e-07, 6.71087e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1126, 0, 0, 0, -74.9989, 67.9989, 0.695182, -7.04749e-07, -7.55917e-07, -2.39143e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1127, 0, 0, 0, 83.1459, 64.8266, 0.246727, 5.32547e-07, -1.34437e-06, 3.91097e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1128, 0, 0, 0, 68.0609, -21.4883, 1.05463, 6.42333e-05, 1.57995e-06, 0.000112354
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1129, 0, 0, 0, -63.9869, 5.6115, 4.54809, -1.10426e-06, -7.87193e-07, -3.04249e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1130, 0, 0, 0, -0.6938, -46.6513, 2.03097, 7.83486e-06, 5.56377e-06, -0.000136546
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1131, 0, 0, 0, -80.8569, 17.8218, 1.9365, 0, 1.2647e-26, 1.32158e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1132, 0, 0, 0, 0.485, 79.5399, 0.76022, 1.15243e-06, -7.04662e-07, -2.12429e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1133, 0, 0, 0, 85.8811, -59.8637, 0.705473, 1.86069e-06, -8.64261e-07, -2.49091e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1134, 0, 0, 0, -70.6136, 26.2501, 0.232646, -9.62957e-07, -4.188e-07, -2.33157e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1135, 0, 0, 0, -98.4189, 72.4125, 1.283, -0.00193595, -3.51313e-06, -9.22963e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1136, 0, 0, 0, -18.7649, -62.0995, 1.70576, -1.82547e-06, -9.34957e-07, 2.67928e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1137, 0, 0, 0, -41.2472, 92.359, 1.13093, 1.513e-06, -5.58784e-07, -2.64756e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1138, 0, 0, 0, 29.0851, -98.4217, 1.71701, -1.0766e-06, -8.05233e-07, 2.85438e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1139, 0, 0, 0, 1.934, -40.6688, 0.30569, -1.56905e-06, -9.1012e-07, -2.61299e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1140, 0, 0, 0, -36.1011, 53.2762, 0.389352, -2.03604e-05, -1.14064e-06, -8.40903e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1141, 0, 0, 0, -45.3639, 65.8591, 1.42031, 5.10326e-07, -2.50071e-07, 2.4379e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1142, 0, 0, 0, -4.917, -41.5774, 1.20591, -1.15441e-06, -6.20726e-07, -2.30805e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1143, 0, 0, 0, 29.7458, 77.6514, 1.64985, 8.85002e-07, -7.70711e-07, -3.14832e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1144, 0, 0, 0, 90.7903, 28.3383, 4.47286, 1.04423e-06, -4.09959e-07, 1.6508e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1145, 0, 0, 0, -80.2888, -66.62, 1.7935, -3.07771e-05, -6.16306e-06, -0.000132358
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1146, 0, 0, 0, -45.5107, 53.9074, 4.79288, 0.0526625, -0.00981273, 0.00836254
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1147, 0, 0, 0, -14.3418, 63.8829, 1.37857, 5.00845e-05, -1.55516e-06, -7.4886e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1148, 0, 0, 0, -74.2607, 26.4581, 1.0518, -1.23888e-06, -1.031e-06, -2.63896e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1149, 0, 0, 0, 5.7649, 41.1065, 0.365436, 1.49505e-06, -7.65443e-07, -2.60905e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1150, 0, 0, 0, 99.4114, -51.4209, 1.0378, 5.20446e-06, 5.77065e-07, -7.8689e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1151, 0, 0, 0, 14.4004, 44.7673, 0.12334, 1.70396e-06, -7.40988e-07, -2.96383e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1152, 0, 0, 0, -64.5472, -42.0619, 0.286983, -8.2524e-06, -8.44715e-06, 1.52865e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1153, 0, 0, 0, -1.738, 72.5209, 2.05779, 2.65892e-07, 1.13656e-06, -7.00986e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1154, 0, 0, 0, 83.6668, -15.9106, 1.41513, 2.01709e-06, -6.84506e-07, 2.56147e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1155, 0, 0, 0, -52.7657, -46.5719, 4.4271, -3.79837e-07, -4.66802e-07, -1.70324e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1156, 0, 0, 0, -68.0305, -7.7782, 0.331372, 0.00020035, 8.21541e-05, 4.97821e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1157, 0, 0, 0, -43.5665, 87.8133, 0.128159, -0.0023583, -8.04148e-07, -4.91604e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1158, 0, 0, 0, -80.4207, -99.7984, 1.75809, 2.26696e-06, 4.06962e-06, -6.65765e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1159, 0, 0, 0, 31.9084, -12.6058, 1.66166, -7.62508e-07, 7.87444e-07, -4.75604e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1160, 0, 0, 0, 31.8143, -48.8123, 0.6023, -9.9526e-07, -8.69524e-07, -3.05254e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1161, 0, 0, 0, -36.8996, -5.2047, 0.726341, -4.97067e-06, -2.72163e-06, -2.6089e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1162, 0, 0, 0, 2.8619, 9.8376, 4.63695, -2.90248e-06, 1.40312e-06, 4.46246e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1163, 0, 0, 0, 76.0099, 87.6026, 1.9531, 1.12334e-05, -2.28389e-05, -5.71908e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1164, 0, 0, 0, 80.8861, -90.0484, 1.87502, -1.11566e-06, -9.85859e-07, -2.57794e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1165, 0, 0, 0, 11.4136, 16.8382, 0.684804, 1.1138e-06, -3.87758e-08, 1.9395e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1166, 0, 0, 0, -4.8021, 14.9511, 0.344303, 5.57073e-07, 3.46796e-08, 5.64021e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1167, 0, 0, 0, -89.3486, -55.6583, 0.234482, 7.20563e-07, -1.26189e-06, 1.71364e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1168, 0, 0, 0, 34.9206, -61.414, 0.491158, -1.89375e-05, -1.57473e-06, 2.60319e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1169, 0, 0, 0, 55.4942, -59.6908, 1.36045, -1.04363e-05, 8.90984e-06, 5.46554e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1170, 0, 0, 0, -45.55, -0.9049, 1.90852, 0, 1.04982e-26, 7.26565e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1171, 0, 0, 0, -9.9734, -30.228, 1.35623, 7.88861e-31, -1.2546e-26, 2.16522e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1172, 0, 0, 0, -60.9284, 21.3381, 0.815166, -1.28597e-06, -6.05016e-07, 2.18088e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1173, 0, 0, 0, 31.7063, 50.566, 0.131796, 1.29816e-06, -7.06116e-07, 2.55581e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1174, 0, 0, 0, -82.3649, 97.9717, 1.64701, 4.20151e-05, -2.38054e-06, 8.93435e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1175, 0, 0, 0, -46.6217, 40.7321, 0.458872, -1.10678e-06, -9.41814e-07, -2.57788e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1176, 0, 0, 0, -90.294, 26.8732, 1.62184, 0, 8.23949e-26, -2.61748e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1177, 0, 0, 0, -59.7056, -47.7552, 4.41889, -1.2202e-06, -6.96423e-07, -1.92392e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1178, 0, 0, 0, 53.9378, -18.6941, 0.725867, -3.37347e-05, 8.05753e-22, 0.000136777
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1179, 0, 0, 0, -27.0364, 25.0212, 1.28879, 4.19812e-07, 1.16776e-06, 2.65579e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1180, 0, 0, 0, -16.2312, 20.9248, 0.778699, 1.52968e-06, -4.00082e-07, -2.66044e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1181, 0, 0, 0, 67.2259, 59.0523, 1.66174, 0.00077924, -1.82852e-06, -1.07544e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1182, 0, 0, 0, 63.9988, -52.1649, 1.21363, 6.78992e-06, -9.77433e-06, -8.67426e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1183, 0, 0, 0, -38.9947, -37.3971, 1.98797, 8.57166e-05, -7.25812e-05, -0.000107159
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1184, 0, 0, 0, -51.0953, 14.9311, 1.13363, -2.11491e-06, -4.50298e-07, -2.44035e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1185, 0, 0, 0, 90.7982, 34.0279, 1.54146, 2.86368e-17, -2.28629e-17, 1.41287e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1186, 0, 0, 0, -84.3846, -67.6109, 0.291823, 2.80417e-06, -7.48517e-06, -1.63666e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1187, 0, 0, 0, -74.5856, 25.1887, 4.93579, 4.29741e-06, -1.74611e-06, -9.61832e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1188, 0, 0, 0, 99.56, 58.8848, 1.73185, -1.80726e-06, -8.51165e-07, 1.76705e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1189, 0, 0, 0, 4.9793, -29.7366, 1.64576, -1.48419e-06, -6.25646e-07, -2.53662e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1190, 0, 0, 0, 2.4815, -49.3585, 0.557181, -1.47e-06, -5.40576e-07, -2.75661e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1191, 0, 0, 0, -78.6184, -10.3109, 4.47144, -9.03073e-07, 2.37855e-07, 2.62436e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1192, 0, 0, 0, 70.0659, -39.0591, 4.39464, -2.87623e-05, -1.31296e-07, 0.000129348
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1193, 0, 0, 0, 44.4902, 52.8985, 4.9975, 6.85672e-05, 6.93168e-05, 1.23136e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1194, 0, 0, 0, 48.5553, -99.0713, 0.401003, -1.37734e-06, -8.91601e-07, 2.78629e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1195, 0, 0, 0, -47.041, 52.826, 1.17864, 2.81599e-05, 1.26573e-06, 3.70455e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1196, 0, 0, 0, -49.1384, 71.2448, 1.08834, 9.17747e-07, -4.70189e-07, -2.38287e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1197, 0, 0, 0, -82.8013, 19.42, 0.862676, -2.01044e-06, 8.00866e-07, -2.57768e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1198, 0, 0, 0, -72.6981, -24.6375, 4.50426, -1.66657e-06, -1.24814e-06, -2.66256e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1199, 0, 0, 0, 75.0882, -61.6046, 4.52116, -6.57503e-06, -1.11018e-06, 1.10454e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1200, 0, 0, 0, 32.2387, 33.3416, 1.58461, 3.33794e-06, 3.74099e-07, -1.04454e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1201, 0, 0, 0, 72.6277, -73.9896, 4.86188, -2.37614e-07, -1.94235e-07, -1.56464e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1202, 0, 0, 0, -14.8538, -10.6767, 1.67173, -2.11087e-06, -1.00401e-06, 3.05544e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1203, 0, 0, 0, 48.9344, 17.5317, 1.03257, 6.39069e-07, -1.97657e-07, 2.98878e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1204, 0, 0, 0, -84.3204, -10.4779, 1.35973, -8.30753e-07, -8.63208e-07, -2.45154e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1205, 0, 0, 0, 54.0436, -8.9378, 1.55231, 2.75326e-08, 1.32218e-07, 2.64201e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1206, 0, 0, 0, 61.9034, -89.661, 2.1326, -9.46841e-07, -9.72269e-07, -2.50354e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1207, 0, 0, 0, 4.4317, 19.8695, 1.33968, -0.45799, -0.00152804, -0.0194379
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1208, 0, 0, 0, -31.4346, -18.7191, 4.50169, -4.94313e-07, -6.25797e-07, -2.09102e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1209, 0, 0, 0, 20.6438, -21.8948, 2.12228, 2.36753e-06, -1.28184e-06, -2.59265e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1210, 0, 0, 0, 78.5584, -0.6198, 0.347657, -5.05508e-07, 8.15428e-07, 4.82054e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1211, 0, 0, 0, -44.4522, 80.0411, 0.385049, 1.06705e-05, 1.05129e-07, 9.59611e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1212, 0, 0, 0, -20.9485, 29.3587, 2.12047, 3.01155e-05, 6.51527e-06, 2.83023e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1213, 0, 0, 0, -26.0031, -35.5181, 4.52015, -9.48328e-07, -7.14184e-07, -2.35229e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1214, 0, 0, 0, 27.8083, -89.6217, 1.38395, -3.26726e-05, 9.71385e-06, -7.41477e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1215, 0, 0, 0, 75.6079, -82.547, 2.00058, -1.57863e-06, -3.0286e-07, -2.28827e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1216, 0, 0, 0, 73.3877, -94.6861, 2.14265, -1.95405e-06, -7.94735e-07, -3.08893e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1217, 0, 0, 0, 86.8151, 42.0792, 0.713913, 1.16851e-07, 4.43673e-07, -2.84045e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1218, 0, 0, 0, -58.9555, -67.9736, 1.31421, -1.26602e-06, -8.61533e-07, -3.27567e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1219, 0, 0, 0, 27.2986, -68.0029, 1.89533, -1.4958e-06, -8.08275e-07, -2.4076e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1220, 0, 0, 0, 71.3374, 0.5606, 3.53731, -0.615659, -0.00576948, -0.147006
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1221, 0, 0, 0, -38.5296, -27.2986, 1.87332, -1.57096e-06, -1.16981e-06, -3.57804e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1222, 0, 0, 0, 98.2267, 36.3782, 4.78594, -4.14321e-06, 2.56665e-06, 3.30095e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1223, 0, 0, 0, -9.5878, -28.4713, 1.07748, 4.7638e-06, 1.33231e-06, 6.8714e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1224, 0, 0, 0, -89.3023, 22.1123, 1.51799, -1.29169e-06, -5.29947e-07, 2.39697e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1225, 0, 0, 0, 32.7739, 33.5705, 0.165416, 1.0475e-06, -2.27034e-07, -2.57267e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1226, 0, 0, 0, -76.7204, 42.4442, 1.8094, -4.8045e-06, -1.58825e-05, -1.39409e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1227, 0, 0, 0, -64.4358, 37.1237, 4.30437, -1.00566e-06, -4.76265e-07, -2.12243e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1228, 0, 0, 0, 2.4629, -29.9913, 2.01704, -2.56742e-07, -9.25495e-08, -3.02166e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1229, 0, 0, 0, 31.3209, 22.641, 4.81255, 2.09869e-07, -2.78865e-07, -1.55027e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1230, 0, 0, 0, -29.7864, 31.1662, 0.436266, 8.85072e-07, 3.84519e-07, -2.39603e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1231, 0, 0, 0, -78.403, -59.745, 4.394, 3.73326e-07, 2.4532e-07, -2.7458e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1232, 0, 0, 0, -99.7748, 77.4573, 1.20165, 2.47508e-05, 3.59969e-05, -1.25282e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1233, 0, 0, 0, 73.107, 63.7542, 0.735237, 6.37784e-07, -2.15212e-05, -7.68982e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1234, 0, 0, 0, 61.5466, 58.2317, 4.39394, 9.83119e-07, 3.79476e-07, -2.6233e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1235, 0, 0, 0, -74.9762, -58.702, 0.898833, -2.07097e-19, -1.47971e-20, 1.15357e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1236, 0, 0, 0, 92.9061, -65.1037, 1.43777, 1.10251e-06, -6.21945e-07, -1.91999e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1237, 0, 0, 0, -68.1113, -89.3103, 0.773623, 3.21062e-07, 5.37319e-07, 2.87627e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1238, 0, 0, 0, 95.3446, -27.4087, 0.609466, 1.28342e-06, -1.1411e-06, -2.62306e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1239, 0, 0, 0, -2.0761, 28.8022, 1.42431, 2.40117e-06, -9.11816e-07, -2.35446e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1240, 0, 0, 0, -20.439, -24.751, 1.08966, -1.08089e-06, -7.80872e-07, -2.42693e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1241, 0, 0, 0, 87.7417, -78.1889, 2.07822, 8.04633e-07, -4.8894e-07, -1.74209e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1242, 0, 0, 0, 97.9527, -8.9948, 2.1329, 1.93587e-06, -4.22624e-08, 5.62858e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1243, 0, 0, 0, -99.2545, 61.4903, 2.94638, 0.563031, -0.00375034, -0.0292468
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1244, 0, 0, 0, 2.7512, 62.7327, 0.529682, 1.89924e-06, -8.39808e-07, -2.80895e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1245, 0, 0, 0, -51.7733, 10.6927, 4.74866, 2.69903e-07, 1.28038e-06, -3.73845e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1246, 0, 0, 0, 97.4377, 42.9473, 0.725879, -7.7062e-06, -3.15576e-05, -3.72327e-05
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1247, 0, 0, 0, 8.0466, -93.4579, 1.44829, -1.09466e-06, -5.08783e-07, -2.52806e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1248, 0, 0, 0, -75.4711, 33.6188, 4.81852, -1.27334e-06, -1.19181e-06, -2.6289e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1249, 0, 0, 0, -23.6515, 81.1747, 1.17225, -2.0751e-07, 3.07321e-07, 2.89653e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
1250, 0, 0, 0, 70.7781, 6.7207, 0.492737, 1.46082e-06, -5.74372e-07, -2.03366e-06
         , Xa,Ya, YAWa, CTRLA, CTRLB, Duration, Xb, Yb, YAWb
