         , Xa,Ya, YAWa, Vx, Vy, Vyaw, wR, wL, CTRLA, CTRLB, Xb, Yb, YAWb, Vx, Vy, Vyaw, wR2, wL2
26, -1.29745, -0.0256825, 38.6796, -0.169568, -0.0385405, 0.267391, 0.268334, 0.268751, 0.3231, -0.0732, -1.37918, -0.0510314, 46.2007, -0.167968, -0.0726248, 0.279693, 0.283901, 0.279586
27, -1.37918, -0.0510314, 46.2007, -0.167968, -0.0726248, 0.279693, 0.283901, 0.279586, -0.2311, 0.321, -1.4592, -0.092332, 52.6539, -0.151873, -0.0914841, 0.147403, 0.148371, 0.150146
28, -1.4592, -0.092332, 52.6539, -0.151873, -0.0914841, 0.147403, 0.148371, 0.150146, -0.3266, -0.084, -1.52884, -0.138548, 55.3866, -0.117066, -0.0784079, 0.055008, 0.0550303, 0.0556595
29, -1.52884, -0.138548, 55.3866, -0.117066, -0.0784079, 0.055008, 0.0550303, 0.0556595, -0.2403, -0.3797, -1.57722, -0.170172, 56.8868, -0.0763653, -0.046346, 0.0609489, 0.0606013, 0.0601428
30, -1.57722, -0.170172, 56.8868, -0.0763653, -0.046346, 0.0609489, 0.0606013, 0.0601428, -0.1245, 0.254, -1.60962, -0.190124, 57.7557, -0.0647084, -0.0502462, -0.012866, -0.0129301, -0.012478
31, -1.60962, -0.190124, 57.7557, -0.0647084, -0.0502462, -0.012866, -0.0129301, -0.012478, -0.0727, 0.1682, -1.64092, -0.217607, 56.4771, -0.0589017, -0.0562908, -0.0705522, -0.0704386, -0.0701628
32, -1.64092, -0.217607, 56.4771, -0.0589017, -0.0562908, -0.0705522, -0.0704386, -0.0701628, 0.307, 0.1365, -1.67576, -0.256081, 54.7702, -0.0783801, -0.093326, -0.0375711, -0.0373642, -0.0374167
33, -1.67576, -0.256081, 54.7702, -0.0783801, -0.093326, -0.0375711, -0.0373642, -0.0374167, 0.1888, -0.486, -1.71343, -0.301967, 55.5028, -0.0699018, -0.0866521, 0.099169, 0.0994347, 0.0988605
34, -1.71343, -0.301967, 55.5028, -0.0699018, -0.0866521, 0.099169, 0.0994347, 0.0988605, -0.4527, 0.0019, -1.74083, -0.335382, 57.7602, -0.0419724, -0.0499544, 0.0275409, 0.0274081, 0.0275871
35, -1.74083, -0.335382, 57.7602, -0.0419724, -0.0499544, 0.0275409, 0.0274081, 0.0275871, 0.2728, -0.3544, -1.75885, -0.357, 59.4415, -0.030005, -0.0359366, 0.11853, 0.118547, 0.118521
36, -1.75885, -0.357, 59.4415, -0.030005, -0.0359366, 0.11853, 0.118547, 0.118521, 0.1791, 0.2277, -1.77718, -0.382305, 63.0771, -0.0445259, -0.0685654, 0.115604, 0.11578, 0.115742
